PropertyID,VendorID,Address,Size_sf,Available_sf,QuartersTrackedInDatabase,EstimatedCompletionYearQuarter,YearQuarterGroundBroken,BuildingStatusCode,SubPropertyType,buildingName,complex,Latitude,Longitude,CeilingHeight,MarketCode,coords,address_coords,mid_coords
1652864940,2,"HWY 287   Waxahachie, TX 75165",1058635,372321,2,2025.1,2024.1,UC,W,#ERROR!, ,32.41564371,-96.83148189,40,DALLAS,"32.41564371,-96.83148189","32.34633248,-96.78676487","32.38098809,-96.80912338"
1652878266,2,"1400 Zoo Pky  Jacksonville, FL 32218",235733,235733,2,2024.4,2023.3,UC,W,BUILDING B1, ,30.425388,-81.616574,0,JACKSO,"30.425388,-81.616574","30.41248721,-81.62187292","30.4189376,-81.61922346"
1652880652,2,"10400 Frisco   Frisco, TX 75034",74600,2900,10,2024.2,2021.4,UC,W,AIP FRISCO, ,33.16689414,-96.83341217,18,DALLAS,"33.16689414,-96.83341217","33.164641,-96.833177","33.16576757,-96.83329459"
1652913584,2,"800 N Sherman Dr  Indianapolis, IN 46201",100000,0,3,2024.3,2023.1,UC,W, , ,39.778295,-86.102695,0,INDIAN,"39.778295,-86.102695","39.778295,-86.102695","39.778295,-86.102695"
1652913891,2,"189 Knowlton   Savannah, GA 31407",199565,199565,1,2024.4,2024.1,UC,W, ,CROSSROADS BUSINESS PARK,32.153325,-81.23338,32,SAVANN,"32.153325,-81.23338","32.153325,-81.23338","32.153325,-81.23338"
1652918017,2,"4710 E 142nd St  Grandview, MO 64030",14000,14000,1,2024.4,2024.1,UC,W, , ,38.8689241,-94.5374539,0,KANSAS,"38.8689241,-94.5374539","38.868852,-94.536773","38.86888805,-94.53711345"
1652894644,2,"2580 W Walnut Hill Ln  DFW Airport, TX 75261",509668,509668,6,2025.1,2023.2,UC,W,BUILDING 5, ,32.864253,-97.0334037,0,FORTWO,"32.864253,-97.0334037","32.8663165,-96.97895563","32.86528475,-97.00617966"
1652905444,2,"Bldg. 3   Jacksonville, FL 32226",198000,198000,2,2024.4,2023.4,UC,W,#ERROR!, ,30.4084691,-81.6317565,0,JACKSO,"30.4084691,-81.6317565","30.45662117,-81.5583725","30.43254513,-81.5950645"
1652910975,2,"186 Acres Dr  Ladson, SC 29456",21750,21750,3,2024.4,2023.2,UC,W, , ,33.002043,-80.100075,0,CHRLTN,"33.002043,-80.100075","33.002043,-80.100075","33.002043,-80.100075"
1652921979,2,"Powhatan Rd  Clayton, NC 27520",10000,0,1,2025.1,2023.4,UC,W,#ERROR!, ,35.610581,-78.3956013,0,RALEIG,"35.610581,-78.3956013","35.61531708,-78.41103068","35.61294904,-78.40331599"
1652904364,2,"245 Shepardstown Ct  Purcellville, VA 20132",56000,7700,2,2024.2,2023.4,UC,W, , ,39.147481,-77.720025,0,WASHIN,"39.147481,-77.720025","39.147481,-77.720025","39.147481,-77.720025"
1652903664,2,"8100 NW 74th St  Miami, FL 33166",76605,76605,5,2024.2,2022.1,UC,W,PALMETTO 74 BUILDING D,PALMETTO 74,25.840408,-80.328905,32,MIAMI,"25.840408,-80.328905","25.840408,-80.328905","25.840408,-80.328905"
1652906844,2,"1960 Lakepointe Dr  Lewisville, TX 75057",29477,29477,2,2025.1,2024.1,UC,W,BUILDING B, ,33.0144581,-96.977056,28,DALLAS,"33.0144581,-96.977056","33.014452,-96.976018","33.01445505,-96.976537"
1652903663,2,"8100 NW 74th St  Miami, FL 33166",69140,69140,5,2024.2,2022.1,UC,W,PALMETTO 74 BUILDING C,PALMETTO 74,25.840408,-80.328905,32,MIAMI,"25.840408,-80.328905","25.840408,-80.328905","25.840408,-80.328905"
1652916988,2,"1800 Pipeline rd  Euless, TX 76040",19350,19350,2,2024.2,2023.4,UC,W, , ,32.820008,-97.1122179,22,FORTWO,"32.820008,-97.1122179","32.82207495,-97.1189213","32.82104148,-97.1155696"
1652884027,2,"11250 W 36th Ave  Hialeah, FL 33018",297918,297918,6,2024.2,2022.4,UC,W,MIDPOINT LOGISTICS, ,25.9230287,-80.3596397,32,MIAMI,"25.9230287,-80.3596397","25.9235857,-80.3612845","25.9233072,-80.3604621"
1652903451,2,"621 Bohannon Rd  Fairburn, GA 30213",316072,316072,2,2024.4,2023.4,UC,W,OAKMONT 85 SOUTH, ,33.54357548,-84.59187974,36,ATLANT,"33.54357548,-84.59187974","33.54357548,-84.59187974","33.54357548,-84.59187974"
1652922763,2,"Old Covington Hwy   Conyers, GA 30013",212745,212745,1,2025.1,2024.1,UC,W,--streetnum is:   to   | building name is ROCKDALE 20 EAST BUSINESS CENTER, ,33.6498447,-83.9865374,32,ATLANT,"33.6498447,-83.9865374","33.62878377,-83.93857405","33.63931424,-83.96255573"
1652883516,2,"4043 Hanoverville Rd  Bethlehem, PA 18020",288576,288576,5,2024.2,2023.1,UC,W,"LEHIGH VALLEY TRADE CENTER III, BUILDING D", ,40.6877588,-75.3559703,36,ALLENT,"40.6877588,-75.3559703","40.68397512,-75.37231615","40.68586696,-75.36414322"
1652884843,2,"Harry McKillop Blvd & Old   McKinney, TX 75069",304576,0,6,2024.2,2022.3,UC,W,--streetnum is:   to   | building name is M-75 COMMERCE CENTER, ,33.1685414,-96.6083901,36,DALLAS,"33.1685414,-96.6083901","33.1660309,-96.59850284","33.16728615,-96.60344647"
1652920300,2,"14101 NW 112th Ave  Hialeah Gardens, FL 33018",133762,133762,2,2024.3,2023.3,UC,W, , ,25.90184,-80.3795699,36,MIAMI,"25.90184,-80.3795699","25.90184,-80.3795699","25.90184,-80.3795699"
1652874231,2,"8 Camp Hall Rd  Ridgeville, SC 29472",183757,183757,4,2024.2,2023.1,UC,W,CAMP HALL CAMPUS 8 BUILDING C,CAROLINA TRADEPORT,33.1513115,-80.298872,32,CHRLTN,"33.1513115,-80.298872","32.92594053,-80.41057703","33.03862601,-80.35472452"
1652886522,2,"22610 W 167th St  Olathe, KS 66062",147955,0,7,2024.2,2023.1,UC,W,LONE ELM COMMERCE BUILDING 4, ,38.826475,-94.847276,32,KANSAS,"38.826475,-94.847276","38.826475,-94.847276","38.826475,-94.847276"
1652900810,2,"2733 Basswood Blvd  Saginaw, TX 76131",130750,130750,4,2024.2,2023.2,UC,W,BUILDING 3,BASSWOOD 35 INDUSTRIAL PARK,32.8767982,-97.3213179,32,FORTWO,"32.8767982,-97.3213179","32.87290159,-97.32179595","32.87484989,-97.32155692"
1652876762,2,"10301 Philadelphia Rd  White Marsh, MD 21162",34000,34000,2,2024.3,2023.4,UC,W,BLDG I- PHASE I, ,39.372482,-76.440786,20,BALTIM,"39.372482,-76.440786","39.372156,-76.440625","39.372319,-76.4407055"
1652922891,2,"6525 Business 78   Nevada, TX 75173",10500,10500,1,2024.2,2023.4,UC,W, , ,33.066681,-96.42329,17,DALLAS,"33.066681,-96.42329","33.066681,-96.42329","33.066681,-96.42329"
1652906676,2,"Powell Rd  Gibsonton, FL 33534",160000,160000,1,2024.3,2024.1,UC,W,TAMPA REGIONAL INDUSTRIAL - BLDG 100,"3202 POWELL ROAD, GIBSONTON, FL",27.8046515,-82.3821675,32,TAMPA,"27.8046515,-82.3821675","27.80363929,-82.38424648","27.80414539,-82.38320699"
1652791755,2,"9571 Palmetto Commerce Pky  Ladson, SC 29456",20000,20000,1,2024.3,2024.1,UC,W,LANDMARK BUSINESS PARK, ,32.97703552,-80.12590027,0,CHRLTN,"32.97703552,-80.12590027","32.978398,-80.125528","32.97771676,-80.12571414"
1652897779,2,"3400 NW 107 Ave  Doral, FL 33172",132000,0,2,2024.4,2023.4,UC,W,BRIDGE POINT DORAL BUILDING 6,BRIDGE POINT DORAL,25.8079745,-80.3717562,36,MIAMI,"25.8079745,-80.3717562","25.80738013,-80.36936639","25.80767731,-80.37056129"
1652917117,2,"7815 Jetstar Dr  Irving, TX 75063",69160,69160,1,2024.3,2024.1,UC,W,TRISTAR BUSINESS PARK, ,32.913254,-97.0031873,32,DALLAS,"32.913254,-97.0031873","32.913799,-97.003241","32.9135265,-97.00321415"
1652924318,2,"1901 Peachtree Industrial Blvd  Buford, GA 30518",45000,21000,1,2025.1,2024.1,UC,W, , ,34.124927,-84.017175,20,ATLANT,"34.124927,-84.017175","34.124927,-84.017175","34.124927,-84.017175"
1652917708,2,"3451 N Interstate 35   Denton, TX 76207",180657,180657,2,2024.3,2023.4,UC,W, , ,33.2237701,-97.1733153,32,DALLAS,"33.2237701,-97.1733153","33.2237716,-97.17234847","33.22377085,-97.17283188"
1652919522,2,"440 Dundas Dr  Jacksonville, FL 32218",48000,48000,2,2024.2,2023.3,UC,W, , ,30.4256966,-81.6515759,0,JACKSO,"30.4256966,-81.6515759","30.42643933,-81.65184071","30.42606797,-81.6517083"
1652896320,2,"2202 Franklin Ave  Mesquite, TX 75150",49033,38500,3,2024.2,2023.3,UC,W, , ,32.7942788,-96.6140972,18,DALLAS,"32.7942788,-96.6140972","32.7942788,-96.6140972","32.7942788,-96.6140972"
1652918768,2,"2129 Bardin Rd  Grand Prairie, TX 75052",51760,51760,2,2024.2,2023.1,UC,W, , ,32.6700782,-97.0353674,24,DALLAS,"32.6700782,-97.0353674","32.6724173,-97.03996135","32.67124775,-97.03766437"
1652867113,2,"I-75 & Pasco Rd   San Antonio, FL 33576",1383296,0,3,2024.2,2023.1,UC,W,#ERROR!, ,28.3327472,-82.3181042,0,TAMPA,"28.3327472,-82.3181042","28.3252489,-82.3244522","28.32899805,-82.3212782"
1652912630,2,"8593 NW 96th St  Medley, FL 33166",137074,137074,1,2024.2,2023.1,UC,W,SYCAMORE LOGISTICS CENTER BUILDING A,SYCAMORE LOGISTICS CENTER,25.8612066,-80.3360908,36,MIAMI,"25.8612066,-80.3360908","25.861245,-80.336287","25.8612258,-80.3361889"
1652882561,2,"Henderson Way  Plant City, FL 33563",533347,533347,1,2024.3,2023.4,UC,W,#ERROR!, ,28.0162972,-82.0893939,36,TAMPA,"28.0162972,-82.0893939","28.01708715,-82.0947557","28.01669217,-82.0920748"
1652927447,2,"1217 S County Line Rd  Plant City, FL 33566",35000,0,1,2025.1,2024.1,UC,W, , ,28.0031263,-82.057568,0,TAMPA,"28.0031263,-82.057568","28.0031263,-82.057568","28.0031263,-82.057568"
1652909450,2,"4557 J D Mouser Pky  Alvarado, TX 76009",26400,26400,3,2024.3,2023.1,UC,W, , ,32.51881534,-97.1546125,0,FORTWO,"32.51881534,-97.1546125","32.51881534,-97.1546125","32.51881534,-97.1546125"
1652927446,2,"1325 S County Line Rd  Plant City, FL 33566",75000,0,1,2025.1,2024.1,UC,W, , ,28.0031038,-82.0569639,0,TAMPA,"28.0031038,-82.0569639","28.0031038,-82.0569639","28.0031038,-82.0569639"
1652866771,2,"4700 N Arlington Ave  Kansas City, MO 64161",203899,0,1,2024.4,2023.2,UC,W,HMBC LOGISTICS V, ,39.1778194,-94.4676092,32,KANSAS,"39.1778194,-94.4676092","39.16410695,-94.46335076","39.17096317,-94.46547998"
1652898349,2,"138 Strathmore Rd  Summerville, SC 29483",31400,25000,5,2024.2,2022.4,UC,W, , ,33.08447481,-80.20913059,0,CHRLTN,"33.08447481,-80.20913059","33.085171,-80.208133","33.08482291,-80.2086318"
1652924871,2,"7605 SR 54   New Port Richey, FL 34653",68000,0,1,2024.2,2023.1,UC,W, , ,28.2185748,-82.6890792,0,TAMPA,"28.2185748,-82.6890792","28.217574,-82.688544","28.2180744,-82.6888116"
1652880893,2,"3150 Couden Dr  Lebanon, IN 46052",702000,702000,6,2024.4,2022.3,UC,W, , ,39.9796432,-86.4102952,40,INDIAN,"39.9796432,-86.4102952","39.979424,-86.410351","39.9795336,-86.4103231"
1652908029,2,"3501 US 64 Hwy W Apex, NC 27502",27000,0,3,2024.2,2023.2,UC,W, , ,35.742527,-78.930038,0,RALEIG,"35.742527,-78.930038","35.7425747,-78.9300677","35.74255085,-78.93005285"
1652927325,2,"6370 Rabbit Run Ln  Mebane, NC 27302",120000,0,1,2024.2,2023.1,UC,W, , ,36.07551347,-79.22597071,0,RALEIG,"36.07551347,-79.22597071","36.07551347,-79.22597071","36.07551347,-79.22597071"
1652918835,2,"4560 J D Mouser Pky  Alvarado, TX 76009",10000,7500,2,2024.3,2023.1,UC,W, , ,32.5208459,-97.1567378,0,FORTWO,"32.5208459,-97.1567378","32.51901414,-97.15462079","32.51993002,-97.15567929"
1652892515,2,"1037 Cassville White Rd  White, GA 30184",139950,139950,7,2024.2,2022.3,UC,W,BUILDING 2, ,34.2721412,-84.80108675,32,ATLANT,"34.2721412,-84.80108675","34.2721412,-84.80108675","34.2721412,-84.80108675"
1652901948,2,"25435 Pleasant Valley Rd  Chantilly, VA 20152",130020,130020,5,2024.2,2023.1,UC,W, , ,38.914585,-77.475864,32,WASHIN,"38.914585,-77.475864","38.914586,-77.475867","38.9145855,-77.4758655"
1652815745,2,"30700 W 183rd St  Gardner, KS 66030",1006016,1006016,3,2025.1,2023.1,UC,W,INLAND PORT IX, ,38.79660583,-94.93841183,40,KANSAS,"38.79660583,-94.93841183","38.797958,-94.942263","38.79728191,-94.94033742"
1652909796,2,"9600 E 400 N   Brownsburg, IN 46112",580884,580884,2,2025.1,2023.2,UC,W,--streetnum is:   to   | building name is PARK 74 COMMERCE CENTER BUILDING A, ,39.8235656,-86.3539397,40,INDIAN,"39.8235656,-86.3539397","39.82233625,-86.3513096","39.82295093,-86.35262465"
1652877628,2,"SWC Pleasant St. & Union   Noblesville, IN 46060",41657,41657,7,2024.2,2022.2,UC,W,--streetnum is:   to   | building name is BUILDING 2, ,40.0398536,-85.9794786,24,INDIAN,"40.0398536,-85.9794786","40.03910783,-86.01077033","40.03948071,-85.99512447"
1652883256,2,"Granite Lane & Peachtree   Suwanee, GA 30024",30000,0,4,2024.4,2023.2,UC,W,#ERROR!, ,34.0751402,-84.1632618,0,ATLANT,"34.0751402,-84.1632618","34.0750575,-84.1645923","34.07509885,-84.16392705"
1652900984,2,"155 Tiger   Rhome, TX 76078",100000,0,5,2024.2,2023.1,UC,W, ,114 INDUSTRIAL,33.0404071,-97.4242121,0,FORTWO,"33.0404071,-97.4242121","33.06353554,-97.5207686","33.05197132,-97.47249035"
1652827708,2,"4141 W 91st Pl  Hialeah, FL 33018",232620,232620,7,2024.3,2022.2,UC,W,BEACON LOGISTICS PARK- BUILDING C,BEACON LOGISTICS PARK,25.906743,-80.3679533,36,MIAMI,"25.906743,-80.3679533","25.9045369,-80.3678999","25.90563995,-80.3679266"
1652889892,2,"2925 Valley View Ln  DFW Airport, TX 75261",739716,739716,7,2024.4,2022.4,UC,W,BUILDING 1,DFW LOGISTICS HUB,32.8870966,-97.0048138,40,DALLAS,"32.8870966,-97.0048138","32.84504419,-97.02196672","32.8660704,-97.01339026"
1652900845,2,"4700 S Hardin Blvd  McKinney, TX 75070",95179,0,5,2024.2,2022.3,UC,W,BUILDING 2,MCKINNEY 121,33.15420331,-96.66351025,0,DALLAS,"33.15420331,-96.66351025","33.16824325,-96.66490665","33.16122328,-96.66420845"
1652912642,2,"1 Amity Ditch Rd  Franklin, IN 46131",700000,0,3,2024.3,2022.0,UC,W, , ,39.4911519,-86.0051471,0,INDIAN,"39.4911519,-86.0051471","39.480347,-86.056023","39.48574945,-86.03058505"
1652901979,2,"1607 Hamlin Rd  Durham, NC 27704",192000,64000,2,2025.1,2024.1,UC,W,BUILDING F, ,36.0224259,-78.8735147,32,RALEIG,"36.0224259,-78.8735147","36.0544363,-78.85928141","36.0384311,-78.86639805"
1652865517,2,"Queens Court West   Upper Marlboro, MD 20774",184140,184140,5,2024.2,2022.4,UC,W,--streetnum is:   to   | building name is BUILDING 10,NATIONAL CAPITAL BUSINESS PARK,38.8711395,-76.739399,36,WASHIN,"38.8711395,-76.739399","38.87155847,-76.72323819","38.87134898,-76.7313186"
1652870600,2,"14900 Elion Way  Brandywine, MD 20613",801610,801610,9,2024.4,2023.2,UC,W,ELP DC BUILDING 1,ELION LOGISTICS PARK,38.6718978,-76.8641873,40,WASHIN,"38.6718978,-76.8641873","38.67799221,-76.86071896","38.674945,-76.86245313"
1652896534,2,"353 Ballenger Center Dr  Frederick, MD 21703",38476,38476,5,2024.2,2023.1,UC,W,BUILDING B,BALLENGER CREEK BUSINESS CENTER,39.3962698,-77.42831176,0,WASHIN,"39.3962698,-77.42831176","39.3962698,-77.42831176","39.3962698,-77.42831176"
1652896723,2,"1220 Sage Hill Pky  Forney, TX 75126",1024549,1024549,7,2024.3,2023.2,UC,W,BUILDING 1,GATEWAY CROSSING LOGISTICS PARK,32.7293798,-96.3931773,40,DALLAS,"32.7293798,-96.3931773","32.7318494,-96.39037714","32.7306146,-96.39177722"
1652922162,2,"N. Frontage Road   Plant City, FL 33563",247520,247520,1,2025.1,2024.1,UC,W,BUILDING 200,PARK 4 LOGISTICS CENTER,28.0434801,-82.1117152,32,TAMPA,"28.0434801,-82.1117152","28.03767809,-82.10137438","28.04057909,-82.10654479"
1652913826,2,"3405 International Golf Pky  Saint Augustine, FL 32092",110600,110600,1,2025.1,2024.1,UC,W,--streetnum is: 3405B to   | building name is BUILDING 3,IGP/95 LOGISTICS PARK,29.9669847,-81.4798495,28,JACKSO,"29.9669847,-81.4798495","29.9682312,-81.4795761","29.96760795,-81.4797128"
1652901482,2,"11335 Lewis Braselton Blvd  Braselton, GA 30517",114780,114780,1,2024.3,2023.3,UC,W,BRASELTON TECHNOLOGY CENTER, ,34.118603,-83.742764,32,ATLANT,"34.118603,-83.742764","34.118602,-83.742662","34.1186025,-83.742713"
1652839830,2,"601 Bloomingdale Rd  Bloomingdale, GA 31302",466180,466180,4,2024.3,2023.3,UC,W,LOGISTICS 16 - BLDG 100,LOGISTICS 16 @ OTTAWA FARMS,32.115913,-81.298102,36,SAVANN,"32.115913,-81.298102","32.12212411,-81.30434214","32.11901855,-81.30122207"
1652923223,2,"151 Plug in Dr  Ridgeville, SC 29472",152880,152880,1,2024.2,2022.3,UC,W, , ,32.9297337,-80.3933102,32,CHRLTN,"32.9297337,-80.3933102","33.13335817,-80.31169285","33.03154593,-80.35250153"
1652908847,2,"S 2nd Ave and Klein Tools   Mansfield, TX 76063",25822,0,2,2024.2,2023.3,UC,W,#ERROR!, ,32.5398695,-97.139631,0,FORTWO,"32.5398695,-97.139631","29.97505351,-95.56889982","31.25746151,-96.35426541"
1652907799,2,"1075 Lower Woolsey Rd  Hampton, GA 30228",1392166,0,3,2024.2,2023.1,UC,W, , ,33.3696127,-84.3147171,0,ATLANT,"33.3696127,-84.3147171","33.370816,-84.313826","33.37021435,-84.31427155"
1652924854,2,"14555 Softwind Ln  Spring Hill, FL 34610",50000,0,1,2025.1,2024.1,UC,W, , ,28.369197,-82.552309,0,TAMPA,"28.369197,-82.552309","28.369197,-82.552309","28.369197,-82.552309"
1652927457,2,"1599 Dash Dr  Fuquay Varina, NC 27526",250000,0,1,2024.4,2023.2,UC,W, , ,35.581426,-78.774962,0,RALEIG,"35.581426,-78.774962","35.581426,-78.774962","35.581426,-78.774962"
1652900995,2,"2248 SE Loop 820   Fort Worth, TX 76140",53780,53780,3,2024.2,2023.2,UC,W,E, ,32.6607717,-97.274505,0,FORTWO,"32.6607717,-97.274505","32.66713784,-97.29765202","32.66395477,-97.28607851"
1652917314,2,"528 Sunbury Rd   Midway, GA 31320",33000,12481,2,2024.2,2023.1,UC,W, ,TRADEPORT EAST,31.780554,-81.3575305,32,SAVANN,"31.780554,-81.3575305","31.78055402,-81.35753052","31.78055401,-81.35753051"
1652871050,2,"10601 World Trade Blvd  Raleigh, NC 27617",30475,22992,2,2024.3,2023.4,UC,W, , ,35.897466,-78.816845,24,RALEIG,"35.897466,-78.816845","35.89752,-78.817759","35.897493,-78.817302"
1652851304,2,"Route 33   Bethlehem, PA 18045",70000,70000,3,2024.4,2023.1,UC,W,--streetnum is:   to   | building name is BUILDING 4,PENN CENTER 33,40.6703092,-75.297478,0,ALLENT,"40.6703092,-75.297478","40.65953009,-75.29145287","40.66491964,-75.29446544"
1652900992,2,"2224 SE Loop 820   Fort Worth, TX 76140",20088,20088,3,2024.2,2023.2,UC,W,C, ,32.6607717,-97.274505,21,FORTWO,"32.6607717,-97.274505","32.66725569,-97.29791348","32.66401369,-97.28620924"
1652885024,2,"550 Hooper Rd  Wylie, TX 75098",12750,12750,8,2025.1,2022.1,UC,W,BUILDING 4,HENSLEY PARK,33.00496963,-96.57839382,20,DALLAS,"33.00496963,-96.57839382","33.00496963,-96.57839382","33.00496963,-96.57839382"
1652914482,2,"8250 Eastern Ave  Baltimore, MD 21224",442200,442200,2,2024.3,2023.4,UC,W,DIAMOND LOGISTICS CENTER, ,39.284609,-76.571015,40,BALTIM,"39.284609,-76.571015","39.300719,-76.498105","39.292664,-76.53456"
1652912882,2,"Park 33 @ Lehigh Valley E Rd  Easton, PA 18064",396025,396025,2,2024.3,2023.4,UC,W,--streetnum is:   to   | building name is BUILDING 2, ,40.73522,-75.2787859,0,ALLENT,"40.73522,-75.2787859","40.73283289,-75.31048905","40.73402644,-75.29463748"
1652896312,2,"4860 Forbes Blvd  Lanham, MD 20706",11527,11527,7,2024.2,2022.3,UC,W, , ,38.956191,-76.836984,0,WASHIN,"38.956191,-76.836984","38.956191,-76.836984","38.956191,-76.836984"
1652909264,2,"2201 NE Town Centre Blvd   Lees Summit, MO 64064",250000,187500,3,2024.4,2023.2,UC,W,#ERROR!, ,38.95192135,-94.36886654,36,KANSAS,"38.95192135,-94.36886654","38.95192135,-94.36886654","38.95192135,-94.36886654"
1652897774,2,"3600 NW 112 Ave  Doral, FL 33172",366528,366528,2,2024.4,2023.4,UC,W,BRIDGE POINT DORAL BUILDING 1, ,25.8090877,-80.3752191,36,MIAMI,"25.8090877,-80.3752191","25.80085475,-80.37735305","25.80497122,-80.37628607"
1652886266,2,"4826 Hwy 78   Saint George, SC 29477",978120,978120,6,2024.3,2022.4,UC,W,BUILDING 1,PORT 95 INDUSTRIAL PARK,33.178379,-80.5327324,40,CHRLTN,"33.178379,-80.5327324","33.17368991,-80.53399053","33.17603445,-80.53336146"
1652906167,2,"1000 Spinks Ct  Lewisville, TX 75067",60000,26167,3,2024.3,2023.3,UC,W, , ,32.9970915,-97.0167297,29,DALLAS,"32.9970915,-97.0167297","32.998959,-97.049421","32.99802525,-97.03307535"
1652887090,2,"8100 Palmetto Commerce Pky  Ladson, SC 29456",1321840,1321840,6,2024.4,2022.4,UC,W,PALMETTO LOGISTICS CENTER, ,32.95643279,-80.08794887,41,CHRLTN,"32.95643279,-80.08794887","32.958552,-80.086486","32.9574924,-80.08721743"
1652900946,2,"Holly Springs New Hill Rd  Holly Springs, NC 27540",808993,0,5,2024.2,2021.1,UC,W,#ERROR!, ,35.6528259,-78.8750039,0,RALEIG,"35.6528259,-78.8750039","35.65970935,-78.86812705","35.65626762,-78.87156547"
1652924377,2,"3770 Francis Cir  Alpharetta, GA 30004",33750,0,1,2024.4,2023.2,UC,W,BUILDING 400, ,34.146663,-84.244045,0,ATLANT,"34.146663,-84.244045","34.146663,-84.244045","34.146663,-84.244045"
1652908532,2,"1500 Progress Industrial Blvd  Lawrenceville, GA 30043",163170,163170,2,2025.1,2023.3,UC,W, , ,33.9960678,-83.9604705,32,ATLANT,"33.9960678,-83.9604705","33.9960678,-83.9604705","33.9960678,-83.9604705"
1652908748,2,"Rockhill Pkwy   Frisco, TX 75035",100500,0,3,2025.1,2022.4,UC,W,#ERROR!, ,33.2091993,-96.8079226,0,DALLAS,"33.2091993,-96.8079226","33.203936,-96.7903394","33.20656765,-96.799131"
1652887790,2,"121 Technology Park   Allen, TX 75013",94413,0,4,2024.2,2023.2,UC,W,#ERROR!,121 TECHNOLOGY PARK,33.1476119,-96.6663539,32,DALLAS,"33.1476119,-96.6663539","33.13179495,-96.71239407","33.13970343,-96.68937399"
1652897495,2,"1500 N Mayhill Rd  Denton, TX 76208",77981,77981,2,2024.2,2023.3,UC,W,MAYHILL 380 BUSINESS PARK - BUILDING 3, ,33.21355139,-97.08342433,0,DALLAS,"33.21355139,-97.08342433","33.2313223,-97.0823322","33.22243685,-97.08287827"
1652871137,2,"Veteran Pky  Savannah, GA 31405",982800,0,7,2024.3,2022.2,UC,W,--streetnum is:   to   | building name is CENTRAL PORT LOGISTICS CENTER BUILDING 11,CENTRAL PORT LOGISTICS CENTER,32.01658,-81.1721686,36,SAVANN,"32.01658,-81.1721686","32.02580339,-81.17050189","32.02119169,-81.17133524"
1652896178,2,"1000 N Main St  Mansfield, TX 76063",416000,0,4,2024.2,2023.1,UC,W,"MOUSER ELECTRONICS, INC. EXPANSION", ,32.578992,-97.147336,0,FORTWO,"32.578992,-97.147336","32.579023,-97.146955","32.5790075,-97.1471455"
