,geography,geographic_area_name,occupied_housing_units,occupied_housing_units_moe,median_monthly_costs_occupied_units,median_monthly_costs_occupied_units_moe,occupied_units_percentage,occupied_units_percentage_moe,owner_occupied_units,owner_occupied_units_moe,median_monthly_costs_owner_occupied,median_monthly_costs_owner_occupied_moe,owner_occupied_units_percentage,owner_occupied_units_percentage_moe,median_monthly_costs_owner_percentage,median_monthly_costs_owner_percentage_moe,renter_occupied_units,renter_occupied_units_moe,no_cash_rent_renter_units,no_cash_rent_renter_units_moe,median_monthly_costs_renter_units,median_monthly_costs_renter_units_moe,renter_occupied_units_percentage,renter_occupied_units_percentage_moe,median_monthly_costs_renter_percentage,median_monthly_costs_renter_percentage_moe
0,1400000US12001000201,Census Tract 2.01; Alachua County; Florida,1960,365,878,113,1960,365,151,78,612,343,151,78,612,343,1809,362,40,52,893,184,1809,362,893,184
11,1400000US12001000901,Census Tract 9.01; Alachua County; Florida,350,115,778,21,350,115,8,12,-,**,8,12,-,**,342,117,6,8,776,20,342,117,776,20
12,1400000US12001000902,Census Tract 9.02; Alachua County; Florida,66,35,738,25,66,35,0,21,-,**,0,21,-,**,66,35,0,21,738,25,66,35,738,25
13,1400000US12001001000,Census Tract 10; Alachua County; Florida,2955,410,1198,143,2955,410,1146,277,888,271,1146,277,888,271,1809,405,0,21,1347,205,1809,405,1347,205
14,1400000US12001001100,Census Tract 11; Alachua County; Florida,2871,246,1307,183,2871,246,2017,208,1252,242,2017,208,1252,242,854,182,31,39,1398,363,854,182,1398,363
15,1400000US12001001201,Census Tract 12.01; Alachua County; Florida,1358,245,1089,179,1358,245,926,230,1042,288,926,230,1042,288,432,146,7,11,1139,198,432,146,1139,198
16,1400000US12001001202,Census Tract 12.02; Alachua County; Florida,3246,228,1140,80,3246,228,2340,228,1080,115,2340,228,1080,115,906,242,18,30,1224,124,906,242,1224,124
17,1400000US12001001203,Census Tract 12.03; Alachua County; Florida,1761,164,1255,177,1761,164,744,173,882,99,744,173,882,99,1017,165,0,15,1587,95,1017,165,1587,95
18,1400000US12001001400,Census Tract 14; Alachua County; Florida,950,107,864,49,950,107,694,123,805,79,694,123,805,79,256,86,25,29,1069,112,256,86,1069,112
19,1400000US12001001514,Census Tract 15.14; Alachua County; Florida,970,155,1460,226,970,155,24,21,733,58,24,21,733,58,946,154,6,9,1482,183,946,154,1482,183
20,1400000US12001001515,Census Tract 15.15; Alachua County; Florida,2697,422,1041,66,2697,422,121,113,520,425,121,113,520,425,2576,410,29,32,1048,65,2576,410,1048,65
21,1400000US12001001516,Census Tract 15.16; Alachua County; Florida,1244,218,1155,106,1244,218,259,106,689,207,259,106,689,207,985,185,52,50,1244,115,985,185,1244,115
22,1400000US12001001517,Census Tract 15.17; Alachua County; Florida,2377,279,1361,72,2377,279,210,86,432,201,210,86,432,201,2167,274,39,40,1393,77,2167,274,1393,77
23,1400000US12001001519,Census Tract 15.19; Alachua County; Florida,761,146,1381,84,761,146,10,16,-,**,10,16,-,**,751,143,0,15,1387,83,751,143,1387,83
24,1400000US12001001522,Census Tract 15.22; Alachua County; Florida,3486,365,1088,68,3486,365,246,109,951,324,246,109,951,324,3240,373,39,43,1094,67,3240,373,1094,67
25,1400000US12001001605,Census Tract 16.05; Alachua County; Florida,3886,401,1250,108,3886,401,1045,222,1206,344,1045,222,1206,344,2841,480,0,21,1257,108,2841,480,1257,108
26,1400000US12001001701,Census Tract 17.01; Alachua County; Florida,2966,343,1488,149,2966,343,1141,212,1205,292,1141,212,1205,292,1825,331,48,68,1760,258,1825,331,1760,258
27,1400000US12001001702,Census Tract 17.02; Alachua County; Florida,2315,459,833,125,2315,459,1943,452,828,126,1943,452,828,126,372,169,0,21,-,**,372,169,-,**
28,1400000US12001001802,Census Tract 18.02; Alachua County; Florida,1178,230,846,130,1178,230,981,227,771,214,981,227,771,214,197,98,16,19,1098,188,197,98,1098,188
29,1400000US12001001803,Census Tract 18.03; Alachua County; Florida,2756,249,1165,98,2756,249,2273,236,1193,141,2273,236,1193,141,483,185,45,53,1102,161,483,185,1102,161
30,1400000US12001001811,Census Tract 18.11; Alachua County; Florida,3048,335,1539,79,3048,335,1137,179,1503,236,1137,179,1503,236,1911,318,28,31,1560,87,1911,318,1560,87
31,1400000US12001001813,Census Tract 18.13; Alachua County; Florida,1647,240,1405,150,1647,240,1453,248,1347,134,1453,248,1347,134,194,92,11,17,1863,370,194,92,1863,370
32,1400000US12001001815,Census Tract 18.15; Alachua County; Florida,715,115,1043,296,715,115,677,111,1055,286,677,111,1055,286,38,41,14,25,-,**,38,41,-,**
33,1400000US12001001816,Census Tract 18.16; Alachua County; Florida,1831,246,1026,196,1831,246,1457,255,995,269,1457,255,995,269,374,199,29,35,1125,395,374,199,1125,395
34,1400000US12001001817,Census Tract 18.17; Alachua County; Florida,1860,231,1337,121,1860,231,1547,222,1367,145,1547,222,1367,145,313,155,64,78,1220,192,313,155,1220,192
35,1400000US12001001818,Census Tract 18.18; Alachua County; Florida,1730,228,1041,195,1730,228,1472,237,1034,195,1472,237,1034,195,258,96,39,33,1112,844,258,96,1112,844
36,1400000US12001001819,Census Tract 18.19; Alachua County; Florida,2004,297,1178,123,2004,297,1252,241,1532,383,1252,241,1532,383,752,330,12,19,1094,81,752,330,1094,81
37,1400000US12001001902,Census Tract 19.02; Alachua County; Florida,1330,223,878,234,1330,223,487,177,701,204,487,177,701,204,843,188,0,15,1098,119,843,188,1098,119
38,1400000US12001001907,Census Tract 19.07; Alachua County; Florida,1243,252,670,138,1243,252,986,199,675,179,986,199,675,179,257,131,31,45,658,268,257,131,658,268
39,1400000US12001001908,Census Tract 19.08; Alachua County; Florida,2158,408,848,180,2158,408,1633,365,820,410,1633,365,820,410,525,253,215,205,1028,433,525,253,1028,433
40,1400000US12001002001,Census Tract 20.01; Alachua County; Florida,608,122,500,91,608,122,512,134,497,86,512,134,497,86,96,66,44,45,-,**,96,66,-,**
41,1400000US12001002002,Census Tract 20.02; Alachua County; Florida,1649,215,760,278,1649,215,1340,218,678,288,1340,218,678,288,309,91,37,36,1029,182,309,91,1029,182
42,1400000US12001002101,Census Tract 21.01; Alachua County; Florida,833,143,791,129,833,143,632,135,640,190,632,135,640,190,201,88,5,8,869,45,201,88,869,45
43,1400000US12001002102,Census Tract 21.02; Alachua County; Florida,490,130,639,298,490,130,364,132,448,310,364,132,448,310,126,44,23,16,1033,299,126,44,1033,299
44,1400000US12001002201,Census Tract 22.01; Alachua County; Florida,2131,233,1322,293,2131,233,1791,189,1529,252,1791,189,1529,252,340,162,12,19,1107,135,340,162,1107,135
45,1400000US12001002202,Census Tract 22.02; Alachua County; Florida,2414,303,1283,149,2414,303,2124,332,1266,196,2124,332,1266,196,290,154,19,22,1840,988,290,154,1840,988
46,1400000US12001002204,Census Tract 22.04; Alachua County; Florida,4521,478,1743,121,4521,478,3398,453,1786,150,3398,453,1786,150,1123,338,252,236,1660,116,1123,338,1660,116
47,1400000US12001002207,Census Tract 22.07; Alachua County; Florida,1441,219,1591,117,1441,219,1392,222,1569,114,1392,222,1569,114,49,36,0,15,2181,602,49,36,2181,602
48,1400000US12001002208,Census Tract 22.08; Alachua County; Florida,1097,167,2049,252,1097,167,992,122,1979,319,992,122,1979,319,105,125,0,15,2159,267,105,125,2159,267
49,1400000US12001002209,Census Tract 22.09; Alachua County; Florida,3504,391,1316,395,3504,391,2893,407,1226,489,2893,407,1226,489,611,180,124,99,1572,669,611,180,1572,669
50,1400000US12001002210,Census Tract 22.10; Alachua County; Florida,2131,255,979,276,2131,255,1873,238,944,260,1873,238,944,260,258,165,138,148,1194,231,258,165,1194,231
51,1400000US12001002217,Census Tract 22.17; Alachua County; Florida,2375,479,1120,39,2375,479,285,114,704,219,285,114,704,219,2090,501,65,79,1141,39,2090,501,1141,39
52,1400000US12001002218,Census Tract 22.18; Alachua County; Florida,1014,145,1200,68,1014,145,327,76,1192,250,327,76,1192,250,687,155,37,40,1201,64,687,155,1201,64
53,1400000US12001002219,Census Tract 22.19; Alachua County; Florida,2613,319,1272,115,2613,319,909,208,761,237,909,208,761,237,1704,309,15,26,1421,126,1704,309,1421,126
54,1400000US12001002220,Census Tract 22.20; Alachua County; Florida,902,129,1197,185,902,129,698,118,1154,334,698,118,1154,334,204,91,13,20,1257,238,204,91,1257,238
55,1400000US12001002221,Census Tract 22.21; Alachua County; Florida,2190,333,1764,211,2190,333,1781,319,1633,404,1781,319,1633,404,409,134,0,21,1892,181,409,134,1892,181
56,1400000US12001002222,Census Tract 22.22; Alachua County; Florida,2794,293,1692,140,2794,293,2494,317,1692,196,2494,317,1692,196,300,163,18,30,1883,331,300,163,1883,331
57,1400000US12001110800,Census Tract 1108; Alachua County; Florida,883,122,1515,460,883,122,424,76,971,409,424,76,971,409,459,110,30,26,2013,529,459,110,2013,529
58,1400000US12003040101,Census Tract 401.01; Baker County; Florida,2613,371,1220,309,2613,371,1886,340,1280,268,1886,340,1280,268,727,240,0,21,970,325,727,240,970,325
59,1400000US12003040102,Census Tract 401.02; Baker County; Florida,2510,325,746,232,2510,325,2077,337,720,241,2077,337,720,241,433,253,8,15,1004,505,433,253,1004,505
60,1400000US12003040201,Census Tract 402.01; Baker County; Florida,1826,264,917,100,1826,264,1442,232,925,70,1442,232,925,70,384,214,35,53,795,339,384,214,795,339
61,1400000US12003040202,Census Tract 402.02; Baker County; Florida,2055,284,888,200,2055,284,1781,273,827,341,1781,273,827,341,274,106,20,22,998,121,274,106,998,121
62,1400000US12005000201,Census Tract 2.01; Bay County; Florida,1852,246,858,302,1852,246,1532,242,792,403,1532,242,792,403,320,138,129,102,925,610,320,138,925,610
63,1400000US12005000203,Census Tract 2.03; Bay County; Florida,1158,213,784,197,1158,213,1117,212,765,195,1117,212,765,195,41,49,24,39,-,**,41,49,-,**
64,1400000US12005000204,Census Tract 2.04; Bay County; Florida,1320,191,1312,302,1320,191,1242,196,1303,469,1242,196,1303,469,78,49,8,14,1348,150,78,49,1348,150
65,1400000US12005000301,Census Tract 3.01; Bay County; Florida,1104,334,410,71,1104,334,1095,335,414,107,1095,335,414,107,9,16,0,15,-,**,9,16,-,**
66,1400000US12005000302,Census Tract 3.02; Bay County; Florida,2371,308,827,172,2371,308,1694,270,760,359,1694,270,760,359,677,221,49,47,852,105,677,221,852,105
67,1400000US12005000401,Census Tract 4.01; Bay County; Florida,733,104,1050,376,733,104,480,128,876,623,480,128,876,623,253,131,47,41,1228,859,253,131,1228,859
68,1400000US12005000402,Census Tract 4.02; Bay County; Florida,2366,277,1181,312,2366,277,2107,295,1059,406,2107,295,1059,406,259,160,16,25,1367,544,259,160,1367,544
69,1400000US12005000500,Census Tract 5; Bay County; Florida,2632,424,1543,111,2632,424,2163,419,1545,134,2163,419,1545,134,469,181,25,42,1513,213,469,181,1513,213
70,1400000US12005000600,Census Tract 6; Bay County; Florida,582,120,1204,184,582,120,454,103,1085,325,454,103,1085,325,128,68,19,16,1349,189,128,68,1349,189
71,1400000US12005000700,Census Tract 7; Bay County; Florida,133,47,1856,163,133,47,0,15,-,**,0,15,-,**,133,47,0,15,1712,191,133,47,1712,191
72,1400000US12005000803,Census Tract 8.03; Bay County; Florida,1957,309,1083,86,1957,309,1062,244,738,569,1062,244,738,569,895,305,28,35,1189,106,895,305,1189,106
73,1400000US12005000804,Census Tract 8.04; Bay County; Florida,1011,168,1382,143,1011,168,784,169,1287,250,784,169,1287,250,227,84,23,25,1727,194,227,84,1727,194
74,1400000US12005000805,Census Tract 8.05; Bay County; Florida,1899,298,1069,59,1899,298,1143,210,594,301,1143,210,594,301,756,274,0,15,1179,56,756,274,1179,56
75,1400000US12005000806,Census Tract 8.06; Bay County; Florida,1247,182,1344,200,1247,182,899,163,1496,474,899,163,1496,474,348,109,6,12,1313,108,348,109,1313,108
76,1400000US12005000900,Census Tract 9; Bay County; Florida,1645,188,1109,76,1645,188,1025,169,985,144,1025,169,985,144,620,155,0,15,1217,217,620,155,1217,217
77,1400000US12005001000,Census Tract 10; Bay County; Florida,723,131,848,70,723,131,506,101,744,70,506,101,744,70,217,79,13,19,1186,314,217,79,1186,314
78,1400000US12005001100,Census Tract 11; Bay County; Florida,1930,281,992,121,1930,281,1428,264,835,268,1428,264,835,268,502,198,0,15,1153,140,502,198,1153,140
79,1400000US12005001200,Census Tract 12; Bay County; Florida,1104,198,1031,176,1104,198,752,176,877,310,752,176,877,310,352,131,7,12,1113,135,352,131,1113,135
80,1400000US12005001301,Census Tract 13.01; Bay County; Florida,1803,220,1360,160,1803,220,1443,257,1344,247,1443,257,1344,247,360,179,9,14,1376,152,360,179,1376,152
81,1400000US12005001302,Census Tract 13.02; Bay County; Florida,2818,321,1024,242,2818,321,1881,297,753,191,1881,297,753,191,937,251,0,21,1248,170,937,251,1248,170
82,1400000US12005001402,Census Tract 14.02; Bay County; Florida,2593,274,1398,251,2593,274,2143,259,1337,203,2143,259,1337,203,450,247,25,31,1702,505,450,247,1702,505
83,1400000US12005001403,Census Tract 14.03; Bay County; Florida,823,97,1264,148,823,97,512,84,1219,404,512,84,1219,404,311,93,3,4,1304,216,311,93,1304,216
84,1400000US12005001404,Census Tract 14.04; Bay County; Florida,3037,308,1370,233,3037,308,1843,237,1242,302,1843,237,1242,302,1194,252,19,32,1474,245,1194,252,1474,245
85,1400000US12005001501,Census Tract 15.01; Bay County; Florida,2215,304,1409,133,2215,304,1481,258,1284,283,1481,258,1284,283,734,197,0,21,1532,143,734,197,1532,143
86,1400000US12005001502,Census Tract 15.02; Bay County; Florida,2200,274,1355,82,2200,274,1462,213,1324,114,1462,213,1324,114,738,195,0,21,1398,118,738,195,1398,118
87,1400000US12005001600,Census Tract 16; Bay County; Florida,1210,223,894,114,1210,223,328,105,710,247,328,105,710,247,882,237,26,40,983,323,882,237,983,323
88,1400000US12005001700,Census Tract 17; Bay County; Florida,1092,193,970,182,1092,193,574,126,796,176,574,126,796,176,518,194,15,22,1084,199,518,194,1084,199
89,1400000US12005001800,Census Tract 18; Bay County; Florida,586,164,696,335,586,164,359,127,652,246,359,127,652,246,227,115,0,15,920,443,227,115,920,443
90,1400000US12005001900,Census Tract 19; Bay County; Florida,1743,214,1387,146,1743,214,1420,222,1382,228,1420,222,1382,228,323,91,0,15,1394,136,323,91,1394,136
91,1400000US12005002000,Census Tract 20; Bay County; Florida,697,162,778,179,697,162,194,69,810,152,194,69,810,152,503,153,19,22,766,250,503,153,766,250
92,1400000US12005002200,Census Tract 22; Bay County; Florida,1720,231,994,109,1720,231,574,136,809,340,574,136,809,340,1146,219,53,56,1022,180,1146,219,1022,180
93,1400000US12005002300,Census Tract 23; Bay County; Florida,1691,256,1052,88,1691,256,1069,178,685,371,1069,178,685,371,622,207,9,15,1172,62,622,207,1172,62
94,1400000US12005002400,Census Tract 24; Bay County; Florida,1519,165,1123,99,1519,165,779,170,997,155,779,170,997,155,740,134,27,46,1312,107,740,134,1312,107
95,1400000US12005002500,Census Tract 25; Bay County; Florida,1258,185,1417,294,1258,185,1031,187,1466,246,1031,187,1466,246,227,125,74,77,1166,417,227,125,1166,417
96,1400000US12005002604,Census Tract 26.04; Bay County; Florida,3657,382,1217,133,3657,382,2574,442,1166,235,2574,442,1166,235,1083,387,0,21,1304,138,1083,387,1304,138
97,1400000US12005002605,Census Tract 26.05; Bay County; Florida,886,206,1296,117,886,206,665,196,1288,255,665,196,1288,255,221,78,9,15,1319,143,221,78,1319,143
98,1400000US12005002606,Census Tract 26.06; Bay County; Florida,933,179,1297,144,933,179,564,162,1553,492,564,162,1553,492,369,91,19,18,1205,73,369,91,1205,73
99,1400000US12005002607,Census Tract 26.07; Bay County; Florida,684,117,928,247,684,117,462,95,692,90,462,95,692,90,222,84,39,39,1131,79,222,84,1131,79
100,1400000US12005002608,Census Tract 26.08; Bay County; Florida,1636,212,1609,165,1636,212,1538,199,1553,201,1538,199,1553,201,98,96,0,15,2292,126,98,96,2292,126
101,1400000US12005002609,Census Tract 26.09; Bay County; Florida,2393,295,1373,259,2393,295,1392,219,1212,194,1392,219,1212,194,1001,206,40,37,1587,214,1001,206,1587,214
102,1400000US12005002703,Census Tract 27.03; Bay County; Florida,1494,211,1626,185,1494,211,1144,158,1608,220,1144,158,1608,220,350,137,0,15,1688,356,350,137,1688,356
103,1400000US12005002706,Census Tract 27.06; Bay County; Florida,1283,205,1232,223,1283,205,707,164,967,248,707,164,967,248,576,207,11,22,1431,246,576,207,1431,246
104,1400000US12005002707,Census Tract 27.07; Bay County; Florida,1549,234,1037,163,1549,234,1128,203,946,160,1128,203,946,160,421,164,61,81,1152,353,421,164,1152,353
105,1400000US12005002708,Census Tract 27.08; Bay County; Florida,409,100,923,163,409,100,309,92,866,258,309,92,866,258,100,63,20,30,1000,216,100,63,1000,216
106,1400000US12005002709,Census Tract 27.09; Bay County; Florida,1484,345,1105,341,1484,345,1014,312,697,128,1014,312,697,128,470,151,16,25,1647,103,470,151,1647,103
107,1400000US12005002710,Census Tract 27.10; Bay County; Florida,2476,424,1558,137,2476,424,1153,222,1372,114,1153,222,1372,114,1323,433,0,21,1739,154,1323,433,1739,154
108,1400000US12005002711,Census Tract 27.11; Bay County; Florida,1442,229,1500,428,1442,229,1253,237,1648,457,1253,237,1648,457,189,124,0,15,1247,702,189,124,1247,702
109,1400000US12005002712,Census Tract 27.12; Bay County; Florida,880,167,1722,207,880,167,235,91,1137,398,235,91,1137,398,645,157,6,12,1802,154,645,157,1802,154
110,1400000US12005002713,Census Tract 27.13; Bay County; Florida,700,159,1446,381,700,159,494,146,1173,708,494,146,1173,708,206,121,7,12,1606,361,206,121,1606,361
111,1400000US12005990000,Census Tract 9900; Bay County; Florida,0,15,-,**,0,15,0,15,-,**,0,15,-,**,0,15,0,15,-,**,0,15,-,**
112,1400000US12007000100,Census Tract 1; Bradford County; Florida,2105,285,820,102,2105,285,1173,250,448,161,1173,250,448,161,932,201,57,66,1011,254,932,201,1011,254
113,1400000US12007000201,Census Tract 2.01; Bradford County; Florida,1245,206,427,117,1245,206,897,135,403,71,897,135,403,71,348,189,0,15,-,**,348,189,-,**
114,1400000US12007000202,Census Tract 2.02; Bradford County; Florida,1375,235,762,72,1375,235,844,189,710,288,844,189,710,288,531,172,155,145,795,375,531,172,795,375
115,1400000US12007000301,Census Tract 3.01; Bradford County; Florida,1669,247,776,212,1669,247,1286,224,771,189,1286,224,771,189,383,197,28,31,-,**,383,197,-,**
116,1400000US12007000302,Census Tract 3.02; Bradford County; Florida,1118,205,996,160,1118,205,711,133,938,226,711,133,938,226,407,190,48,35,1036,155,407,190,1036,155
117,1400000US12007000400,Census Tract 4; Bradford County; Florida,1555,236,921,117,1555,236,1257,205,901,389,1257,205,901,389,298,187,49,51,942,31,298,187,942,31
118,1400000US12009060103,Census Tract 601.03; Brevard County; Florida,1015,185,789,428,1015,185,976,185,810,482,976,185,810,482,39,36,0,15,730,496,39,36,730,496
119,1400000US12009060104,Census Tract 601.04; Brevard County; Florida,632,262,464,121,632,262,597,261,432,106,597,261,432,106,35,24,12,13,-,**,35,24,-,**
120,1400000US12009060105,Census Tract 601.05; Brevard County; Florida,954,193,358,77,954,193,817,182,337,70,817,182,337,70,137,90,73,73,835,33,137,90,835,33
121,1400000US12009060106,Census Tract 601.06; Brevard County; Florida,565,73,1059,366,565,73,488,87,766,573,488,87,766,573,77,74,0,15,-,**,77,74,-,**
122,1400000US12009060201,Census Tract 602.01; Brevard County; Florida,952,176,1056,277,952,176,849,163,991,347,849,163,991,347,103,101,4,11,1116,138,103,101,1116,138
123,1400000US12009060202,Census Tract 602.02; Brevard County; Florida,1143,183,1393,309,1143,183,953,211,1435,429,953,211,1435,429,190,108,0,15,1340,285,190,108,1340,285
124,1400000US12009060301,Census Tract 603.01; Brevard County; Florida,798,133,1101,129,798,133,624,105,936,567,624,105,936,567,174,114,21,23,1671,136,174,114,1671,136
125,1400000US12009060302,Census Tract 603.02; Brevard County; Florida,1297,258,467,116,1297,258,1177,263,469,41,1177,263,469,41,120,81,9,14,1046,659,120,81,1046,659
126,1400000US12009060400,Census Tract 604; Brevard County; Florida,1639,327,735,210,1639,327,1206,308,602,249,1206,308,602,249,433,114,73,71,986,145,433,114,986,145
127,1400000US12009060500,Census Tract 605; Brevard County; Florida,2201,354,948,75,2201,354,1988,359,931,95,1988,359,931,95,213,124,0,21,1051,433,213,124,1051,433
128,1400000US12009060600,Census Tract 606; Brevard County; Florida,2245,312,1016,74,2245,312,1577,255,989,166,1577,255,989,166,668,242,16,27,1037,84,668,242,1037,84
129,1400000US12009060700,Census Tract 607; Brevard County; Florida,1311,224,904,62,1311,224,342,166,968,523,342,166,968,523,969,173,23,26,898,44,969,173,898,44
130,1400000US12009061001,Census Tract 610.01; Brevard County; Florida,2801,452,1294,271,2801,452,2022,482,1076,305,2022,482,1076,305,779,215,38,37,1576,130,779,215,1576,130
131,1400000US12009061002,Census Tract 610.02; Brevard County; Florida,1281,179,894,90,1281,179,1064,161,825,166,1064,161,825,166,217,100,0,15,1199,100,217,100,1199,100
132,1400000US12009061100,Census Tract 611; Brevard County; Florida,2177,249,1058,174,2177,249,1753,227,1151,235,1753,227,1151,235,424,155,16,25,947,106,424,155,947,106
133,1400000US12009061201,Census Tract 612.01; Brevard County; Florida,3101,373,1217,235,3101,373,2665,361,1047,308,2665,361,1047,308,436,309,22,35,2100,762,436,309,2100,762
134,1400000US12009061202,Census Tract 612.02; Brevard County; Florida,1599,176,1204,189,1599,176,1158,153,722,211,1158,153,722,211,441,130,0,15,1496,191,441,130,1496,191
135,1400000US12009062106,Census Tract 621.06; Brevard County; Florida,1310,257,1023,228,1310,257,1117,235,843,152,1117,235,843,152,193,96,8,12,1456,252,193,96,1456,252
136,1400000US12009062108,Census Tract 621.08; Brevard County; Florida,2881,496,1329,205,2881,496,2705,486,1321,240,2705,486,1321,240,176,103,8,12,1390,248,176,103,1390,248
137,1400000US12009062109,Census Tract 621.09; Brevard County; Florida,1384,164,935,360,1384,164,1259,163,898,454,1259,163,898,454,125,73,12,19,1022,355,125,73,1022,355
138,1400000US12009062110,Census Tract 621.10; Brevard County; Florida,1298,118,1010,126,1298,118,1042,138,798,231,1042,138,798,231,256,148,0,15,1247,1161,256,148,1247,1161
139,1400000US12009062111,Census Tract 621.11; Brevard County; Florida,1170,158,1213,167,1170,158,1138,154,1221,173,1138,154,1221,173,32,37,17,28,-,**,32,37,-,**
140,1400000US12009062112,Census Tract 621.12; Brevard County; Florida,517,68,1260,654,517,68,484,65,971,502,484,65,971,502,33,34,0,15,-,**,33,34,-,**
141,1400000US12009062113,Census Tract 621.13; Brevard County; Florida,2217,235,1135,141,2217,235,2066,262,1130,180,2066,262,1130,180,151,110,0,21,1156,346,151,110,1156,346
142,1400000US12009062114,Census Tract 621.14; Brevard County; Florida,741,146,772,29,741,146,421,108,719,125,421,108,719,125,320,140,30,36,787,200,320,140,787,200
143,1400000US12009062115,Census Tract 621.15; Brevard County; Florida,857,217,1292,357,857,217,832,222,1279,447,832,222,1279,447,25,29,0,15,-,**,25,29,-,**
144,1400000US12009062301,Census Tract 623.01; Brevard County; Florida,1302,239,811,157,1302,239,704,195,484,342,704,195,484,342,598,210,9,16,880,51,598,210,880,51
145,1400000US12009062302,Census Tract 623.02; Brevard County; Florida,1738,378,840,61,1738,378,869,303,845,163,869,303,845,163,869,244,0,15,832,89,869,244,832,89
146,1400000US12009062401,Census Tract 624.01; Brevard County; Florida,858,207,958,79,858,207,692,191,914,138,692,191,914,138,166,122,0,15,1186,417,166,122,1186,417
147,1400000US12009062402,Census Tract 624.02; Brevard County; Florida,2425,374,1077,113,2425,374,1059,361,683,358,1059,361,683,358,1366,433,0,21,1186,96,1366,433,1186,96
148,1400000US12009062500,Census Tract 625; Brevard County; Florida,1773,240,759,129,1773,240,1123,242,517,180,1123,242,517,180,650,178,44,51,988,157,650,178,988,157
149,1400000US12009062600,Census Tract 626; Brevard County; Florida,1116,254,907,181,1116,254,522,185,779,244,522,185,779,244,594,216,58,38,1055,159,594,216,1055,159
150,1400000US12009062800,Census Tract 628; Brevard County; Florida,1823,296,1224,227,1823,296,1513,273,1273,469,1513,273,1273,469,310,102,5,9,1164,156,310,102,1164,156
151,1400000US12009062900,Census Tract 629; Brevard County; Florida,2284,318,1234,132,2284,318,1698,298,1119,318,1698,298,1119,318,586,216,0,21,1526,449,586,216,1526,449
152,1400000US12009063000,Census Tract 630; Brevard County; Florida,1648,257,1570,97,1648,257,1343,250,1522,182,1343,250,1522,182,305,104,0,15,1768,132,305,104,1768,132
153,1400000US12009063102,Census Tract 631.02; Brevard County; Florida,3781,490,1347,67,3781,490,2579,303,1314,187,2579,303,1314,187,1202,454,21,23,1360,55,1202,454,1360,55
154,1400000US12009063104,Census Tract 631.04; Brevard County; Florida,1521,160,1412,118,1521,160,1314,138,1472,140,1314,138,1472,140,207,90,0,15,1229,166,207,90,1229,166
155,1400000US12009063105,Census Tract 631.05; Brevard County; Florida,3316,248,1368,89,3316,248,2523,263,1261,198,2523,263,1261,198,793,188,82,63,1691,63,793,188,1691,63
156,1400000US12009063106,Census Tract 631.06; Brevard County; Florida,1772,276,1778,76,1772,276,1381,228,1682,165,1381,228,1682,165,391,209,0,21,1820,224,391,209,1820,224
